Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,osm_id,highway,waterway,covered,depth_isempty,depth,blockage,aerialway,barrier,man_made,width_isempty,width,height,maxheight,layer_isempty,layer,sidewalk,tunnel,bridge,other_tags
Kawawa Road,,,,,,-1,-1,-1,,,23334926,primary,,,1,-1,,,,,1,-1,,,1,-1,,,,"""oneway""=>""yes"""
Kasaba,,,,,,-1,-1,-1,,,23342116,residential,,,1,-1,,,,,0,6,,,1,-1,,,,"""smoothness""=>""good"",""surface""=>""unpaved"""
Malongwe,,,,,,-1,-1,-1,,,23342123,residential,,,1,-1,,,,,0,6,,,1,-1,,,,"""smoothness""=>""good"",""surface""=>""unpaved"""
,,,,,,-1,-1,-1,,,23342124,residential,,,1,-1,,,,,1,-1,,,1,-1,,,,
,,,,,,-1,-1,-1,,,23342125,residential,,,1,-1,,,,,1,-1,,,1,-1,,,,
Malote Street,,,,,,-1,-1,-1,,,23342130,residential,,,1,-1,,,,,0,8,,,1,-1,,,,"""smoothness""=>""intermediate"",""surface""=>""unpaved"""
,,,,,,-1,-1,-1,,,23342131,residential,,,1,-1,,,,,1,-1,,,1,-1,,,,
,,,,,,-1,-1,-1,,,23342132,residential,,,1,-1,,,,,1,-1,,,1,-1,,,,
Toa Ngoma Street,,,,,,-1,-1,-1,,,23342153,residential,,,1,-1,,,,,0,10,,,1,-1,,,,"""smoothness""=>""intermediate"",""surface""=>""concrete"""
,,,,,,-1,-1,-1,,,23350875,unclassified,,,1,-1,,,,,1,-1,,,1,-1,,,,
Libya Street,,,,,,-1,-1,-1,,,23350882,residential,,,1,-1,,,,,1,-1,,,1,-1,,,,
Samora Avenue,,,,,,-1,-1,-1,,,23350955,secondary,,,1,-1,,,,,1,-1,,,1,-1,,,,"""old_name""=>""Unter den Akazien"",""oneway""=>""yes"""
,,,,,,-1,-1,-1,,,23360489,,,,1,-1,,,,,1,-1,,,1,-1,,,,"""electrified""=>""no"",""gauge""=>""1000"",""railway""=>""rail"""
,,,,,,-1,-1,-1,,,23360614,service,,,1,-1,,,,,1,-1,,,1,-1,,,,"""oneway""=>""yes"""
Zanaki Street,,,,,,-1,-1,-1,,,23361132,unclassified,,,1,-1,,,,,1,-1,,,1,-1,,,,
Ohio Street,,,,,,-1,-1,-1,,,23361375,tertiary,,,1,-1,,,,,1,-1,,,1,-1,,,,
"Sokoine Drive, ex. Kaiserstrasse",,,,,,-1,-1,-1,,,23363185,secondary,,,1,-1,,,,,1,-1,,,1,-1,,,,
,,,,,,-1,-1,-1,,,23363328,service,,,1,-1,,,,,1,-1,,,1,-1,,,,
Samora Avenue,,,,,,-1,-1,-1,,,23363360,secondary,,,1,-1,,,,,1,-1,,,1,-1,,,,"""junction""=>""roundabout"""
,,,,,,-1,-1,-1,,,23363364,residential,,,1,-1,,,,,1,-1,,,1,-1,,,,
,,,,,,-1,-1,-1,,,23363366,residential,,,1,-1,,,,,1,-1,,,1,-1,,,,
Kitumbini Street,,,,,,-1,-1,-1,,,23363548,residential,,,1,-1,,,,,1,-1,,,1,-1,,,,
Indira Ghandi,,,,,,-1,-1,-1,,,23363582,residential,,,1,-1,,,,,1,-1,,,1,-1,,,,
,,,,,,-1,-1,-1,,,23464627,,,,1,-1,,,,,1,-1,,,1,-1,,,,"""natural""=>""coastline"""
,,,,,,-1,-1,-1,,,24910919,residential,,,1,-1,,,,,1,-1,,,1,-1,,,,
,,,,,,-1,-1,-1,,,24910946,unclassified,,,1,-1,,,,,1,-1,,,1,-1,,,,
Mkwepu Street,,,,,,-1,-1,-1,,,25059020,unclassified,,,1,-1,,,,,1,-1,,,1,-1,,,,"""oneway""=>""yes"""
,,,,,,-1,-1,-1,,,25059053,residential,,,1,-1,,,,,1,-1,,,1,-1,,,,
Kenyatta Drive,,,,,,-1,-1,-1,,,25059068,residential,,,1,-1,,,,,0,10,,,1,-1,,,,"""smoothness""=>""good"",""surface""=>""asphalt"""
DTV Round About,,,,,,-1,-1,-1,,,25060863,unclassified,,,1,-1,,,,,1,-1,,,1,-1,,,,"""junction""=>""roundabout"""
Jamhuri Street,,,,,,-1,-1,-1,,,25060904,residential,,,1,-1,,,,,1,-1,,,1,-1,,,,
Zanaki Street,,,,,,-1,-1,-1,,,25060933,unclassified,,,1,-1,,,,,1,-1,,,1,-1,,,,
Makunganya Street,,,,,,-1,-1,-1,,,25061108,unclassified,,,1,-1,,,,,1,-1,,,1,-1,,,,
,,,,,,-1,-1,-1,,,25061157,unclassified,,,1,-1,,,,,1,-1,,,1,-1,,,,
,,,,,,-1,-1,-1,,,25061170,unclassified,,,1,-1,,,,,1,-1,,,1,-1,,,,
Mtendeni Street,,,,,,-1,-1,-1,,,25061181,residential,,,1,-1,,,,,0,10,,,1,-1,,,,"""smoothness""=>""good"",""surface""=>""asphalt"""
Mwisho Street,,,,,,-1,-1,-1,,,25061191,residential,,,1,-1,,,,,1,-1,,,1,-1,,,,
Mosque Street,,,,,,-1,-1,-1,,,25061211,residential,,,1,-1,,,,,1,-1,,,1,-1,,,,
,,,,,,-1,-1,-1,,,25091582,secondary,,,1,-1,,,,,1,-1,,,1,-1,,,,"""junction""=>""roundabout"""
